cat_9k_1,FCW2136L0AK
GigabitEthernet1/0/18,dynamic_auto,1,,cc:d8:c1:15:d2:92
GigabitEthernet1/0/19,dynamic_auto,1,,cc:d8:c1:15:d2:93
GigabitEthernet1/0/20,dynamic_auto,1,,cc:d8:c1:15:d2:94
GigabitEthernet1/0/21,dynamic_auto,1,,cc:d8:c1:15:d2:95
GigabitEthernet1/0/22,dynamic_auto,1,,cc:d8:c1:15:d2:96
GigabitEthernet1/0/23,dynamic_auto,1,,cc:d8:c1:15:d2:97
GigabitEthernet1/0/24,dynamic_auto,1,,cc:d8:c1:15:d2:98
GigabitEthernet1/0/25,dynamic_auto,1,,cc:d8:c1:15:d2:99
GigabitEthernet1/0/26,dynamic_auto,1,,cc:d8:c1:15:d2:9a
GigabitEthernet1/0/27,dynamic_auto,1,,cc:d8:c1:15:d2:9b
GigabitEthernet1/0/28,dynamic_auto,1,,cc:d8:c1:15:d2:9c
GigabitEthernet1/0/29,dynamic_auto,1,,cc:d8:c1:15:d2:9d
GigabitEthernet1/0/30,dynamic_auto,1,,cc:d8:c1:15:d2:9e
GigabitEthernet1/0/31,dynamic_auto,1,,cc:d8:c1:15:d2:9f
GigabitEthernet1/0/32,dynamic_auto,1,,cc:d8:c1:15:d2:a0
GigabitEthernet1/0/33,dynamic_auto,1,,cc:d8:c1:15:d2:a1
GigabitEthernet1/0/34,dynamic_auto,1,,cc:d8:c1:15:d2:a2
GigabitEthernet1/0/35,dynamic_auto,1,,cc:d8:c1:15:d2:a3
GigabitEthernet1/0/36,dynamic_auto,1,,cc:d8:c1:15:d2:a4
GigabitEthernet1/0/37,dynamic_auto,1,,cc:d8:c1:15:d2:a5
GigabitEthernet1/0/38,dynamic_auto,1,,cc:d8:c1:15:d2:a6
GigabitEthernet1/0/39,dynamic_auto,1,,cc:d8:c1:15:d2:a7
GigabitEthernet1/0/40,dynamic_auto,1,,cc:d8:c1:15:d2:a8
GigabitEthernet1/0/41,dynamic_auto,1,,cc:d8:c1:15:d2:a9
GigabitEthernet1/0/42,dynamic_auto,1,,cc:d8:c1:15:d2:aa
GigabitEthernet1/0/43,dynamic_auto,1,,cc:d8:c1:15:d2:ab
GigabitEthernet1/0/44,dynamic_auto,1,,cc:d8:c1:15:d2:ac
GigabitEthernet1/0/45,dynamic_auto,1,,cc:d8:c1:15:d2:ad
GigabitEthernet1/0/46,dynamic_auto,1,,cc:d8:c1:15:d2:ae
GigabitEthernet1/0/47,dynamic_auto,1,,cc:d8:c1:15:d2:af
GigabitEthernet1/0/48,dynamic_auto,1,,cc:d8:c1:15:d2:b0
GigabitEthernet1/1/1,dynamic_auto,,,cc:d8:c1:15:d2:b1
GigabitEthernet1/1/2,dynamic_auto,,,cc:d8:c1:15:d2:b2
GigabitEthernet1/1/3,dynamic_auto,,,cc:d8:c1:15:d2:b3
GigabitEthernet1/1/4,dynamic_auto,,,cc:d8:c1:15:d2:b4

TenGigabitEthernet1/1/1,routed,,,cc:d8:c1:15:d2:80
TenGigabitEthernet1/1/2,routed,,,cc:d8:c1:15:d2:c8
TenGigabitEthernet1/1/3,routed,,,cc:d8:c1:15:d2:e6
TenGigabitEthernet1/1/4,access,1,,cc:d8:c1:15:d2:b8


